year,latitude,longitude,T2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,RH2M
2013,15.0,-17.0,-247.2349315068493,1.4172054794520548,5.795643835616438,4.296849315068493,62.879835616438356
2013,15.0,-15.0,-244.32928767123286,1.4893698630136987,6.127424657534247,3.873068493150685,41.61684931506849
2013,15.0,-13.0,-243.84021917808218,1.5036986301369863,6.1727123287671235,3.8253424657534247,39.45673972602739
2013,15.0,-11.0,-244.37432876712327,2.2095068493150687,6.1158904109589045,3.8189315068493146,42.169671232876716
2013,15.0,-9.0,-244.84120547945204,1.6208219178082193,6.201287671232877,3.7975068493150688,36.823589041095886
2013,15.0,-7.0,-244.43306849315067,1.1537534246575345,6.19013698630137,3.825260273972603,33.91591780821918
2013,15.0,-5.0,-244.56547945205477,1.1488493150684933,6.283972602739726,3.9780547945205478,36.09175342465754
2013,15.0,-3.0,-245.2850136986301,1.3138904109589042,6.175178082191782,3.7765479452054795,35.988054794520544
2013,17.0,-17.0,-249.66035616438353,0.4475342465753425,6.0114246575342465,5.652356164383561,80.57049315068494
2013,17.0,-15.0,-244.75810958904106,0.7442739726027396,6.412273972602741,4.2933150684931505,35.51063013698631
2013,17.0,-13.0,-243.7510410958904,0.766821917808219,6.3990684931506845,4.072684931506849,29.465013698630134
2013,17.0,-11.0,-244.7004109589041,0.9171506849315066,6.358356164383562,4.221506849315068,30.39167123287671
2013,17.0,-9.0,-244.60043835616437,0.5712328767123288,6.369589041095891,4.273205479452055,27.951506849315066
2013,17.0,-7.0,-245.13657534246573,0.47463013698630124,6.3781917808219175,4.4397534246575345,27.08501369863014
2013,17.0,-5.0,-244.98372602739724,0.48071232876712333,6.46027397260274,4.252273972602739,26.43241095890411
2013,17.0,-3.0,-244.59158904109586,0.48904109589041095,6.4264383561643825,4.23241095890411,26.388958904109593
2013,19.0,-17.0,-250.6051232876712,0.1712876712328767,6.176520547945205,6.281945205479452,78.51375342465755
2013,19.0,-15.0,-244.7671232876712,0.24279452054794523,6.27213698630137,4.526082191780822,28.39232876712329
2013,19.0,-13.0,-244.46832876712327,0.19536986301369863,6.299369863013698,4.363780821917808,24.001068493150683
2013,19.0,-11.0,-246.3755616438356,0.2743013698630137,6.438191780821917,4.641780821917808,25.087835616438355
2013,19.0,-9.0,-246.22539726027395,0.14364383561643834,6.543835616438356,4.386219178082192,23.24523287671233
2013,19.0,-7.0,-246.1205753424657,0.12224657534246575,6.400931506849315,4.202,22.318054794520553
2013,19.0,-5.0,-245.79221917808218,0.12027397260273973,6.444301369863014,4.220465753424657,21.80619178082192
2013,19.0,-3.0,-245.21052054794518,0.10780821917808217,6.446219178082192,4.25841095890411,20.94279452054795
2013,21.0,-17.0,-250.48339726027396,0.06835616438356164,6.353863013698629,6.407972602739726,62.741369863013695
2013,21.0,-15.0,-246.08243835616435,0.05931506849315068,6.245123287671234,5.238356164383561,28.033534246575343
2013,21.0,-13.0,-246.01380821917806,0.08679452054794519,6.278520547945206,4.775315068493151,24.13095890410959
2013,21.0,-11.0,-247.2304109589041,0.12813698630136988,6.366547945205479,4.6720273972602735,24.274383561643834
2013,21.0,-9.0,-246.57799999999997,0.059561643835616435,6.397397260273973,4.236027397260274,22.148164383561642
2013,21.0,-7.0,-245.84010958904108,0.06756164383561644,6.358109589041096,4.182164383561644,20.47791780821918
2013,21.0,-5.0,-245.2426301369863,0.04334246575342466,6.3053698630136985,4.114219178082192,19.08331506849315
2013,21.0,-3.0,-245.49876712328765,0.06221917808219178,6.3219452054794525,4.274027397260274,19.10753424657534
2013,23.0,-17.0,-253.48799999999997,0.07868493150684931,6.007917808219179,7.49786301369863,86.95178082191781
2013,23.0,-15.0,-249.2774520547945,0.15265753424657533,6.165041095890411,5.798219178082191,41.22794520547946
2013,23.0,-13.0,-248.38432876712326,0.16356164383561644,6.160356164383561,5.137369863013699,32.6
2013,23.0,-11.0,-247.6187945205479,0.1158082191780822,6.121780821917808,4.523808219178083,28.28013698630137
2013,23.0,-9.0,-246.1455616438356,0.050958904109589045,6.1316712328767125,4.377972602739726,22.266657534246576
2013,23.0,-7.0,-246.23783561643833,0.037452054794520545,6.204109589041096,4.183287671232877,20.588684931506847
2013,23.0,-5.0,-245.63065753424655,0.04868493150684931,6.2288219178082205,4.185287671232877,19.19676712328767
2013,23.0,-3.0,-245.76901369863012,0.045561643835616436,6.262931506849315,4.311342465753425,19.179835616438353
2013,25.0,-17.0,-252.32452054794518,0.2525753424657534,5.704465753424658,7.015068493150685,82.73945205479451
2013,25.0,-15.0,-253.17284931506848,0.16068493150684934,5.976657534246576,6.302054794520548,74.44268493150685
2013,25.0,-13.0,-250.33498630136984,0.1741917808219178,6.120958904109588,5.492849315068492,44.89386301369863
2013,25.0,-11.0,-248.9265205479452,0.11265753424657536,6.079945205479452,5.537479452054795,35.77265753424658
2013,25.0,-9.0,-248.11512328767122,0.1572876712328767,6.071561643835616,4.709506849315068,27.949835616438357
2013,25.0,-7.0,-247.7839726027397,0.20115068493150684,6.154931506849316,4.457068493150684,24.711095890410956
2013,25.0,-5.0,-245.93369863013697,0.09717808219178081,6.085150684931508,4.4904383561643835,20.22372602739726
2013,25.0,-3.0,-246.53624657534243,0.048383561643835615,6.2011232876712326,4.468410958904109,20.28767123287671
2014,15.0,-17.0,-247.42339726027396,1.0676986301369862,5.843150684931507,4.450684931506849,61.99306849315069
2014,15.0,-15.0,-244.34945205479448,1.7361643835616436,6.205013698630137,3.9628767123287667,40.328630136986305
