Year,Mean EVI
2010,1282.5375685435245
2011,1263.005253425234
2012,1298.8057245123875
2013,1292.0279477368622
2014,1283.8746721778584
2015,1249.1807598349637
2016,1262.4535548660056
2017,1264.5059513608098
2018,1285.323992464062
2019,1309.2262817305118
2020,1344.077869307345
2021,1329.0297792154252
2022,1346.2355992509456
2023,1134.6788120100834
