FID_1,ADM2_EN,ADM2_PCODE,ADM2_REF,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,Shape_Leng,Shape_Area,AREA_SQKM
6,Boumdeid,MR032,,Assaba,MR03,Mauritania,MR,2024-03-06,2024-03-27,,3.9755973378,0.36839735952,4323.85131914
7,Kankoussa,MR034,,Assaba,MR03,Mauritania,MR,2024-03-06,2024-03-27,,4.37349548997,0.8746873357,10369.3053262
8,Bark̩ol,MR031,Barkeol,Assaba,MR03,Mauritania,MR,2024-03-06,2024-03-27,,4.19071358616,0.54628778466,6448.72290991
4,Guerou,MR033,,Assaba,MR03,Mauritania,MR,2024-03-06,2024-03-27,,2.49949807067,0.23750894198,2800.6999873
5,Kiffa,MR035,,Assaba,MR03,Mauritania,MR,2024-03-06,2024-03-27,,6.70571922175,1.02017909887,12041.8299213
